,hbPhotoExist,originBookCode,author,isbn,publishDate,discountPrice,bookDiscount,bookName,executiveEditor,bookId,picPath,price,stockInDate,sumVolume,shopType
223,Y,143952,龙飞,978-7-115-43952-9,202007,36.00,0.8,玩的就是信用卡：省钱、赚钱、贷款、提升额度268招（第2版）,恭竟平,0923722c-90cf-4392-9e6c-4e870a0528aa,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-43952-9/72jpg/43952_s300.jpg,45,20161223,22802,1
224,N,131649,[美]威廉·阿伦斯　迈克尔·维戈尔德　克里斯蒂安·阿伦斯 著,978-7-115-31649-3,202103,54.40,0.8,当代广告学(第11版，通用教材版),颜林柯,12bec4c8-fd12-4378-aa7b-07db3d0804bf,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-31649-3/72jpg/31649_s300.jpg,68,20130604,22538,1
225,N,146326,陈德人,978-7-115-46326-5,201911,36.00,0.8,电子商务概论与案例分析（微课版）,孙燕燕,fcc2708c-82be-41d3-9582-1c4120013476,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-46326-5/72jpg/46326_s300.jpg,45,20171016,22516,1
226,N,142094,陈建忠 赵世明,978-7-115-42094-7,202103,31.84,0.8,移动电子商务基础与实务,朱海昀,ef06edb8-366b-494c-a666-7d8d4a108848,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-42094-7/72jpg/42094_s300.jpg,39.8,20160613,22487,1
227,N,155501,刘周 郭斌 张坤,978-7-115-55501-4,202108,36.80,0.8,大学生职业生涯规划与就业指导（微课版）,楼雪樵,c6e34539-7418-49fe-ba05-1c14838afd30,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-55501-4/72jpg/55501_s300.jpg,46,20210312,22475,1
228,N,1480722,梁芷曼,978-7-115-48072-9,202108,31.84,0.8,软文营销,古显义,c6b3d051-ba07-439e-b718-cacc4cfb3cc5,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-48072-9/72jpg/48072_s300.jpg,39.8,20190108,22457,1
229,N,137441,邬厚民 吴韬,978-7-115-37441-7,201804,39.84,0.8,商品摄影,王平,ff9ce19a-843d-42d5-9d23-47d2fac63625,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-37441-7/72jpg/37441_s300.jpg,49.8,20150309,22334,1
230,Y,151102,【日】西冈一诚,978-7-115-51102-7,202107,39.20,0.8,高分读书法 成绩大幅提高的秘密武器,曹务龙,68bd8d4e-ef5a-4c74-af11-abc37f945000,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-51102-7/72jpg/51102.jpg,49,20190603,22305,1
231,N,140146,胡保坤,978-7-115-40146-5,202101,39.84,0.8,APP运营推广：抢占移动互联网入口、引爆下载量、留住用户,恭竟平,7a4f2fea-8966-4a3d-8d59-bf62ac6f1d45,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-40146-5/72jpg/40146_s300.jpg,49.8,20151015,22283,1
232,N,134511,[美]哈里·兰德雷斯(Harry Landreth)　大卫·C·柯南德尔(David C.Colander) 著,978-7-115-34511-0,202101,79.20,0.8,经济思想史(第四版),贾福新 李宝琳,50013eb0-4976-4d52-b56a-7319a9c8be00,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-34511-0/72jpg/34511_s300.jpg,99,20140317,22274,1
233,Y,141057,【英】迈克尔·赫佩尔（Michael Heppell ）,978-7-115-41057-3,201803,31.20,0.8,卓越行动力 90天后 遇见全新的自己,王飞龙,466a0277-47f8-4848-a0ec-2cf01d3d0d5f,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-41057-3/72jpg/41057_s300.jpg,39,20160201,22205,1
234,Y,143523,朱瑞丰,978-7-115-43523-1,202004,39.84,0.8,从0到1开公司 新手创业必读指南,李士振,4f9443a9-5fad-4a79-8f4f-df4db945bc57,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-43523-1/72jpg/43523_s300.jpg,49.8,20161123,22114,1
235,N,154954,[英]曼迪·霍尔盖特,978-7-115-54954-9,202105,47.84,0.8,内在自信 如何战胜形形色色的畏惧心理,田甜,58113c8c-2085-4c49-90b4-c8b416981ef4,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-54954-9/72jpg/54954_s300.jpg,59.8,20201109,22104,1
236,N,144624,伍京华,978-7-115-44624-4,202106,36.00,0.8,客户关系管理,万国清,afa3fa31-6a30-403b-9202-f3608108d339,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-44624-4/72jpg/44624_s300.jpg,45,20170223,22089,1
237,N,152183,苏朝晖,978-7-115-52183-5,202106,39.84,0.8,客户关系管理：建立、维护与挽救（第2版）,武恩玉,b500cdbd-c763-4a92-91f4-97ad957ddc8a,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-52183-5/72jpg/52183_s300.jpg,49.8,20191231,22052,1
238,N,149338,骆芳 秦云霞,978-7-115-49338-5,202106,39.84,0.8,新媒体文案策划与写作——从入门到精通（微课版）,刘尉,07213dd1-32c2-41e2-85b0-22e6013407c3,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-49338-5/72jpg/49338_s300.jpg,49.8,20190225,22038,1
239,Y,148138,[美]拉塞尔·沃森道夫（Russell R. Wasendorf）,978-7-115-48138-2,202108,55.20,0.8,期货交易从入门到精通,王飞龙,891fc010-a26e-4f9a-a847-4ced3f03087e,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-48138-2/72jpg/48138_s300.jpg,69,20180412,22025,1
240,N,137436,刘立 主编,978-7-115-37436-3,201908,38.40,0.8,通信企业管理,武恩玉,a5110a92-e856-4a77-a2a9-965ad61fc5ca,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-37436-3/72jpg/37436_s300.jpg,48,20141126,21870,1
241,N,143820,狄振鹏,978-7-115-43820-1,201812,46.40,0.8,管理就是带团队出绩效  没有绩效产生，管理一文不值,折青霞,94464176-b4b0-4ffe-ba0d-854d64e6d356,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-43820-1/72jpg/43820_s300.jpg,58,20170103,21832,1
242,N,142357,周雷,978-7-115-42357-3,201812,39.84,0.8,互联网金融理论与应用,刘琦,e12d267a-475c-4c31-a95f-2f97bcdde2b6,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-42357-3/72jpg/42357_s300.jpg,49.8,20160824,21779,1
243,Y,122599,孙宗虎 王瑞永 编著,978-7-115-22599-3,202004,39.20,0.8,人力资源与行政后勤工作执行流程,付微微,2383b3a7-2ee0-413d-b08d-39674a0c5657,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-22599-3/72jpg/22599_s300.jpg,49,20100414,21723,1
244,N,154518,[荷兰]瑞尼·雷吉梅克（René Raaijmakers）,978-7-115-54518-3,202104,94.40,0.8,光刻巨人：ASML崛起之路,朱伊哲,847ab200-575a-4cc6-8df8-07e07104aa1d,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-54518-3/72jpg/54518_s300.jpg,118,20200915,21666,1
